,DATE,COMPANYNAME,AMOUNT,ROUND,INVESTORS,COUNTRY,COUNTRY(HQ),CATEGORY,SECTOR
805,2018-11-14,CoinAfrique,0,Corporate Venture,Trace,Mauritius,Mauritius,Mobile Marketplace,E-Commerce & Retail
806,2018-11-15,Twiga Foods,10000000,Series B,"International Finance Corporation, 1776 Ventures, Wamda Capital, TLcom Capital Partners, DOB Equity",Kenya,Kenya,"mCommerce, Distribution, and Agriculture",E-Commerce & Retail
807,2018-11-15,Fakahany,700000,Seed,Endure Capital,Egypt,Egypt,Food and Beverage,E-Commerce & Retail
808,2018-11-15,FinChatBot,563000,Seed,"Kalon Venture Partners, Compass Capital",South Africa,South Africa,"Machine learning, Artificial Intelligence, Chat bot, FinTech",Financial Services
809,2018-11-15,Farm.ink,150000,Grant,Fall Armyworm Tech Prize,Kenya,Kenya,"Information Services, Farming",Agriculture
810,2018-11-16,Greenage Technologies,15000,Seed,Genesys Tech Hub,Nigeria,Nigeria,"Solar, Clean Technology",Energy & Environment Resources
811,2018-11-16,LawyerApp,15000,Seed,Genesys Tech Hub,Nigeria,Nigeria,Legal services,Commercial & Professional Services
812,2018-11-19,Henson Geodata Technologies,50000,Grant,Fall Armyworm Tech Prize,Ghana,Ghana,Geospatial Modelling,Information Technology
813,2018-11-19,eHealth Africa,50000,Grant,Fall Armyworm Tech Prize,Nigeria,Nigeria,"Health Care, Information Technology, Management Information Systems",Information Technology
814,2018-11-19,Farmerline,50000,Grant,Fall Armyworm Tech Prize,Ghana,Ghana,"Agtech, Data Analytics",Agriculture
815,2018-11-20,GBarena,100000,Seed,HIMAngel,Egypt,Egypt,"Communities, eSports, Gaming, Online Games",Media & Entertainment
816,2018-11-20,Akorion,75000,Grant,Fall Armyworm Tech Prize,Uganda,Uganda,"Agriculture, Information Technology",Agriculture
817,2018-11-20,Fixxr,34000,Grant,IBM,South Africa,South Africa,"Car Services & Repairs, Mobile Mechanics, Car Services, Car Repairs, and Mechanic Marketplace",Commercial & Professional Services
818,2018-11-22,SWVL,30000000,Series B,"BECO Capital, Raed Ventures, Silicon Badia, Arzan Venture Capital",Egypt,Egypt,"Internet, Mobile Apps, Transportation, Travel, Ride hailing",Transport & Logistics
819,2018-11-22,SonoCare,250000,Seed,Gray Matters Capital,Nigeria,Nigeria,"Health Diagnostics, Medical",Healthcare & Pharma
820,2018-11-22,Zomila,35000,Seed,"Justin Drennan, Frederik Gerner, Bas Hochstenbach",South Africa,South Africa,"Education, Software",Education
821,2018-11-23,Telkom Kenya,40000000,Debt Financing,European Investment Bank (EIB),Kenya,Kenya,"Information and Communications Technology (ICT), Public Relations",Telecommunications
822,2018-11-23,Seemba,51000,Seed,Flat6Labs,Cameroon,Cameroon,"Advertising, eSports, Mobile, Software, Video Games",Media & Entertainment
823,2018-11-26,iSON Xperiences,51000000,Debt Financing,"AfricInvest, Gulf Capital",Nigeria,Nigeria,Social Media,Social Media
824,2018-11-27,Kasha,150000,Seed,Optimizer Foundation,Rwanda,Rwanda,"Consumer Goods, Retail, Retail Technology, Women",E-Commerce & Retail
825,2018-11-27,Arifu,100000,Seed,Optimizer Foundation,Kenya,Kenya,"Digital Learning, Agriculture",Education
826,2018-11-28,AkiraChix,0,Grant,Motorola Solutions Foundation,Kenya,Kenya,"Fashion, Information Technology",Education
827,2018-11-28,Zonful Energy,300000,Seed,"Access Ventures, Aster",Zimbabwe,Zimbabwe,"Clean Energy, Energy, Solar",Energy & Environment Resources
828,2018-11-29,Legafrik,0,Seed,GreenTec Capital Partners,Ivory Coast,Ivory Coast,"Legal, Legal Documents, Business Establishment OHADA Countries, Consult an Online Attorney in Africa, and Legal Services",Commercial & Professional Services
829,2018-11-29,Mettlestate,720000,Seed,Smartcall,South Africa,South Africa,eSports,Media & Entertainment
830,2018-11-29,HelpMum,250000,Grant,Google Impact Challenge Nigeria,Nigeria,Nigeria,"Infomation Technology, Health",Healthcare & Pharma
831,2018-11-29,UjuziKilimo Solutions,250000,Grant,Google Impact Challenge Kenya,Kenya,Kenya,"Agriculture, Analytics, Big Data, Farming, Internet of Things, Predictive Analytics",Agriculture
832,2018-11-29,Rwanda Motor Cycle Company,150000,Seed,Undisclosed,Rwanda,Rwanda,Motorcycles designed,Transport & Logistics
833,2018-11-29,LearnFactory Nigeria,125000,Grant,Google Impact Challenge Nigeria,Nigeria,Nigeria,"Software Engineering, Software Development, and IT Professionals",Education
834,2018-11-29,M-Shule,125000,Grant,Google Impact Challenge Kenya,Kenya,Kenya,"E-Learning, EdTech, Mobile, Mobile Apps",Education
835,2018-11-29,Sauti East Africa,125000,Grant,Google Impact Challenge Kenya,Kenya,Kenya,AgTech,Agriculture
836,2018-11-29,VetSark,125000,Grant,Google Impact Challenge Nigeria,Nigeria,Nigeria,Agriculture · Software · Veterinarian,Software
837,2018-11-30,Accounteer,25000,Seed,Itanna Accelerator,Nigeria,Nigeria,"Accounting, Banking, Financial Services, Cloud Computing",Financial Services
838,2018-11-30,KoloPay,25000,Seed,Itanna Accelerator,Nigeria,Nigeria,"finance, E-commerce, Sales, and Procurement",Financial Services
839,2018-11-30,PowerCube,25000,Seed,Itanna Accelerator,Nigeria,Nigeria,Clean Energy,Resource & Energy
840,2018-11-30,TradeBuza,25000,Seed,Itanna Accelerator,Nigeria,Nigeria,Information Technology,E-Commerce & Retail
841,2018-12-01,Spurbuddy,10000,Pre-Seed,Undisclosed,Nigeria,Nigeria,"3D Technology, Advertising, Brand Marketing, Enterprise Software, Information Technology, Personal Branding, Product Design, Software, UX Design, Virtual Reality",Media & Entertainment
842,2018-12-01,Bridgeur,2132,Pre-Seed,Shenai Bridglall,South Africa,South Africa,Retail,E-Commerce & Retail
843,2018-12-02,Numbers,3424,Pre-Seed,Undisclosed,Nigeria,Nigeria,"Artificial Intelligence, Big Data, Machine Learning, Security",Information Technology
844,2018-12-03,Halan,4384000,Series A,"Battery Road Digital Holdings, Algebra Ventures",Egypt,Egypt,"Logistics, Ride Sharing, Sharing Economy, Transportation",Transport & Logistics
845,2018-12-04,Naked Insurance,2200000,Series A,"Yellowwoods, Hollard Insurance",South Africa,South Africa,"Financial Services, Information Technology, Insurance",Financial Services
846,2018-12-05,Pezesha,0,Series A,Kuramo Capital,Kenya,Kenya,"Finance, Financial Services, Fintech, p2P lending",Financial Services
847,2018-12-06,Buseet,0,Seed,Vision Ventures,Egypt,Egypt,"Mobile Apps, Software, Transportation",Transport & Logistics
848,2018-12-06,Snapt,3000000,Series A,"Nedbank, Sanari Capital, Convergence Partners",South Africa,South Africa,"Load Balancing, Development, Linux, ADC, Application Delivery Controller, Load Balancer, WAF, Web Accelerator, Devops, Application Delivery, and SAAS",Information Technology
849,2018-12-07,Kobo360,6000000,Series A,"International Finance Corporation, Y Combinator, TLcom Capital Partners",Nigeria,Nigeria,"SMEs export/import solution, E-commerce Supply Chain, Mail/Parcel, Office/Home Moving, Haulage, Air Freight, Project Cargo, Sea Freight, Agribusiness",Transport & Logistics
850,2018-12-07,Vezeeta,1000000,Series C,International Finance Corporation,Egypt,Egypt,"Healthcare, Internet, Marketplace, Medical, Paas, Saas",Healthcare & Pharma
851,2018-12-07,Energy Shift,46000,Grant,Technology Innovation Agency,South Africa,South Africa,"Energy, Information Technology",Energy & Environment Resources
852,2018-12-07,Global Energy,45000,Grant,Technology Innovation Agency,South Africa,South Africa,Renewable Energy,Oil & Energy
853,2018-12-07,Jonga,45000,Grant,Technology Innovation Agency,South Africa,South Africa,"Information Technology, Security",Information Technology
854,2018-12-07,ATTRI Orthopaedics,41000,Grant,Technology Innovation Agency,South Africa,South Africa,Health Care,Healthcare & Pharma
855,2018-12-09,RiseUp,0,Seed,"Endure Capital, 500 Startups, Kamelizer, Enara Capital",Egypt,Egypt,"Career Planning, Education, Recruiting, Social Media, Sports",Nonprofit Organization Management
856,2018-12-09,RiseUp,0,Seed,"Endure Capital, 500 Startups, Enara Capital, Kamelizer",Egypt,Egypt,"Career Planning, Education, Recruiting, Social Media, Sports",Nonprofit Organization Management
857,2018-12-10,Nawah Scientific,1000000,Seed,"Averroes Ventures, Egypt Ventures, 500 Startups, Endure Capital, Alex Angels",Egypt,Egypt,"Biopharma, Biotechnology, Life Science",Healthcare & Pharma
858,2018-12-10,Utopixar,100000,Grant,UNICEF Innovation Fund,Tunisia,Tunisia,"Open source, collaboration tool, Social network, CRM, and IT security",Information Technology
860,2018-12-11,Zola Electric ,32500000,Debt Financing,"FMO, Symbiotics",Tanzania,Tanzania,"Electrical Distribution, Energy, Renewable Energy, Solar",Energy & Environment Resources
861,2018-12-11,Nala,150000,Seed,Y Combinator,Tanzania,Tanzania,"Financial Inclusion, Digital Financial Services, Mobile Money, and Fintech",Financial Services
862,2018-12-11,M-SCAN,25000,Grant,TechCrunch Startup Battlefield Africa,Uganda,Uganda,"Manufacturing, Medical Device",Healthcare & Pharma
864,2018-12-12,Jumo,12500000,Series B,Odey Asset Management,South Africa,South Africa,"Technology, Mobile Money, Big Data, Digital Financial Services, Mobile Financial Services, Financial Technology",Financial Services
865,2018-12-12,Wasla Browser,180000,Seed,Omar Barakat,Egypt,Egypt,"advertising, technology, and startups",Information Technology
866,2018-12-12,Pulse PerfectFit Studio,150000,Grant,African Entrepreneurship Award,Namibia,Namibia,"Fitness, Wellness",Education
867,2018-12-12,Plentify,150000,Grant,African Entrepreneurship Award,South Africa,South Africa,Energy and water services,Energy & Environment Resources
868,2018-12-12,Sooretul,100000,Grant,African Entrepreneurship Award,Senegal,Senegal,Internet,E-Commerce & Retail
869,2018-12-12,Ugabus,100000,Grant,African Entrepreneurship Award,Uganda,Uganda,Transportation/Trucking/Railroad,Transport & Logistics
870,2018-12-12,Africa Delivery Technologies Ltd,50000,Seed,Undisclosed,Nigeria,Nigeria,"Delivery Services, Location Based Services, Logistics",Transport & Logistics
871,2018-12-12,Mon Artisan,50000,Grant,African Entrepreneurship Award,0,0,Information Technology and Services,Service Dépannage
872,2018-12-12,Medtrucks,25000,Grant,African Entrepreneurship Award,France,France,"Health, Wellness and Fitness",Healthcare & Pharma
873,2018-12-12,Green Tech Africa,25000,Grant,African Entrepreneurship Award,United States of America,United States of America,Renewables & Environment,Energy & Environment Resources
874,2018-12-12,AkooBooks Audio,25000,Grant,African Entrepreneurship Award,Ghana,Ghana,"Audio, Audiobooks, EBooks, Media and Entertainment",Education
876,2018-12-13,Expensya,4500000,Series A,"ISAI,  Seventure Partners",Tunisia,Tunisia,"Accounting, Financial Services, Mobile Apps, FInance Management",Financial Services
877,2018-12-13,OffGridBox,1600000,Seed,"Doen Foundation, Good Energies Foundations, Banque Populaire du Rwanda",Rwanda,Rwanda,Renewables & Environment,Energy & Environment Resources
878,2018-12-14,Rent To Own Africa,1050000,Seed,"AHL Venture Partners, Small Foundation , Jordan Engineering",Zambia,Zambia,"Asset Financing, Pay As You Go Solar, Farm Machinery",Agriculture
879,2018-12-14,AgroCenta,650000,Seed,"GSMA Ecosystem Accelerator, Seedstars",Ghana,Ghana,"Farmers Market, Logistics, Software",Agriculture
880,2018-12-15,Fintec Labs,2500000,Series B,Fintec Ventures,South Africa,South Africa,"Banking, FinTech, Incubators",Financial Services
881,2018-12-15,Fintec Labs,2100000,Grant,Absa Bank,South Africa,South Africa,"Banking, FinTech, Incubators",Financial Services
882,2018-12-15,TaskMoby,126480,Grant,Undisclosed,Ethiopia,Ethiopia,"Home Services, Talent, Labour",Commercial & Professional Services
883,2018-12-16,iCog Labs,100000,Grant,Undisclosed,Ethiopia,Ethiopia,Computer Software,Emerging Technologies
884,2018-12-17,HouseMe,0,Seed,Undisclosed,South Africa,South Africa,"Data Center Automation, Digital Media, Digital Signage, Industrial Automation",Real estate
885,2018-12-17,SomaApps,2400000,Series A,Undisclosed,Tanzania,Tanzania,Information Technology,Information Technology
886,2018-12-17,Newdigit,2777,Pre-Seed,Undisclosed,Nigeria,Nigeria,"CleanTech, Information Technology, Renewable Energy, Solar",Renewables & Environment
887,2018-12-18,M-KOPA,0,Corporate Venture,Sumitomo Corporation,Kenya,Kenya,"Energy, Financial Services, Mobile",Energy & Environment Resources
888,2018-12-18,Jumia Group,84400000,Corporate Round,Pernod Ricard,Nigeria,Nigeria,"E-Commerce, Internet, Shopping Online",E-Commerce & Retail
889,2018-12-18,d.light,41000000,Venture Round,"Norfund, FMO, Swedfund International, Inspired Evolution Investment Management",Kenya,Kenya,"Energy, Renewable Energy, Solar",Energy & Environment Resources
890,2018-12-18,CowryWise,50000,Seed,Kairos,Nigeria,Nigeria,"Personal Finance, Wealth Management, Savings",Financial Services
891,2018-12-19,Pula,1158000,Grant,Mastercard Foundation Fund for Rural Prosperity,Kenya,Kenya,"Insurance, FinTech, Agriculture",Agriculture
892,2018-12-19,Prothem Usine,800000,Grant,Mastercard Foundation Fund for Rural Prosperity,0,0,"Agriculture, AgTech, Farming, Tea",Agriculture
894,2018-12-19,Eversend,12000,Pre-Seed,LSE Generate,Uganda,Uganda,"Blockchain, Cryptocurrency, FinTech, InsurTech, Mobile Payments",Financial Services
895,2018-12-20,Wakanow,40000000,Private Equity,The Carlyle Group,Nigeria,Nigeria,Travel and Leisure,Travel & Leisure
896,2018-12-20,Maisha Meds,40000,Grant,Villgro Kenya,Kenya,Kenya,"Information Technology, Software",Healthcare & Pharma
897,2018-12-20,Turaco,40000,Grant,Villgro Kenya,Kenya,Kenya,"Health, Information Technology, FinTech",Financial Services
898,2018-12-21,UTU Technologies,0,Seed,DEEPCORE,Kenya,Kenya,"Artificial Intelligence, Blockchain, IaaS, Information Services, Information Technology, Machine Learning, Sharing Economy",Emerging Technologies
899,2018-12-22,VetCode,450000,Seed,Pmaestro ,Egypt,Egypt,"Beauty, Information Technology and services",Healthcare & Pharma
900,2018-12-26,BeneFactors,400000,Seed,"Seedstars, Silverback Capital, NISK Capital",Rwanda,Rwanda,"Factoring, Working Capital, Fintech",Financial Services
901,2018-12-27,Zooba Eats,4000000,Series A,Undisclosed,Egypt,Egypt,"Street Food, Vendor",E-Commerce & Retail
902,2018-12-30,Zaytech,0,Series A,Undisclosed,Ethiopia,Ethiopia,"Consulting, Software",Information Technology
903,2019-01-01,Bumba,0,Seed,Undisclosed,Angola,Angola,"Customer Service, Home Services, Professional Services, Service Industry",Recruitment
904,2019-01-01,Ampersand Electric Motorcycles,215000,Grant,FONERWA,Rwanda,Rwanda,"Automotive, Electric Vehicle, Emerging Markets, Transportation",Automotive
905,2019-01-01,IDF3,50000,Pre-Seed,Undisclosed,Egypt,Egypt,"Blockchain, FinTech, Mobile Payments",Financial Services
906,2019-01-01,MAYDAY,28000,Pre-Seed,Falak Startups,Egypt,Egypt,"Automotive, Mobile Apps, Subscription Service",Other Technologies & Information Technology
908,2019-01-08,SolarNow,9000000,Debt Financing,"SunFunder, Oikocredit International, ResponsAbility",Uganda,Uganda,"Solar PV (Solar Home Systems), Rural Off-grid markets in Africa, Financing, and Distribution",Energy & Environment Resources
909,2019-01-08,Digital Boom,20000,Seed, Family & Friends FF.,Egypt,Egypt,"Advertising, Brand Marketing, Consulting, Digital Media, Education, Information Technology, Internet, News, Public Relations, Publishing",Media & Entertainment
910,2019-01-10,Musoni,0,Private Equity,Alterfin,Kenya,Kenya,"Banking, Financial Services, FinTech",Financial Services
911,2019-01-10,WhereIsMyTransport,1850000,Series A,"Goodwell Investments, Liil Ventures",South Africa,South Africa,"Public Transport Data, Professional Services",Transport & Logistics
912,2019-01-14,Bboxx,31000000,Private Equity,Africa Infrastructure Investment Managers,United Kingdom,United Kingdom,"Electrical Distribution, Energy, Energy Management, Manufacturing, Product Design, Renewable Energy, Solar",Energy & Environment Resources
913,2019-01-14,Afrikrea,550000,Seed,Saviu Ventures,Ivory Coast,Ivory Coast,"Art, E-Commerce, Fashion, Handmade",E-Commerce & Retail
914,2019-01-15,Kamtar ,470000,Seed,Saviu Ventures,Ivory Coast,Ivory Coast,"E-Commerce, Internet, Transportation",Transport & Logistics
915,2019-01-15,Vollar,35300,Seed,Daniel James,South Africa,South Africa,"Blockchain, Financial Services, FinTech, Information Technology",Financial Services
916,2019-01-17,ZayRide,0,Seed,Undisclosed,Ethiopia,Ethiopia,"Apps, Internet, Travel",Information Technology
917,2019-01-17,SolarWorks!,2000000,Debt Financing,"SunFunder, MFX Solutions",South Africa,South Africa,"Solar products, Distribution in emerging markets, Product design, and After sales support",Energy & Environment Resources
918,2019-01-17,M-Tiba,1475000,Debt Financing,French Development Agency,Kenya,Kenya,"Health Care, mHealth, Wellness",Financial Services
919,2019-01-17,Bkam,500000,Series B,"Osman Ahmed Osman, Jabbar Internet Group, ACE & Company",Egypt,Egypt,"E-Commerce, Information Technology, Price Comparison",Information Technology
920,2019-01-18,Talent2Africa,1000000,Seed,Saviu Ventures,Senegal,Senegal,"Consulting, Human Resources, Social Recruiting",Recruitment
921,2019-01-19,Neopenda,300000,Crowdfunding,Undisclosed,Uganda,Uganda,"Baby, Crowdfunding, Health Care, Medical Device, Wearables",Healthcare & Pharma
922,2019-01-21,AwaBike,0,Seed,Oui Capital,Nigeria,Nigeria,Bike-Sharing,Transport & Logistics
923,2019-01-21,Copia Global,2000000,Series B,Goodwell Investments,Kenya,Kenya,"Consumer Goods, Delivery, E-Commerce",E-Commerce & Retail
